web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
1715039713-373;medvedev88;MAN;7;Тент;Пряжа;;;1162;Сергиев Посад;Семикаракорск;23.11.2021;1,5;25400;№ 1679631; Доставить Пряжу дешево догрузом;"Груз :
							Пряжа						
                                        Дата перевозки:  23.11
					Время перевозки:  с 07:00 по 20:00
                    Категория: Догруз
                    Вес: 20 кг
                    Д; Ш; В : 55 см; 43 см; 37 см;
					Объем:  0.09 м3";26,19853741;;23.11.2021
1715039738-374;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;742;Ленинградская;Москва;27.11.2021;12;18400;№ 1681956; Газель на заказ;"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  27.11
					Время перевозки:  с 07:00 по 20:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,76041215;;27.11.2021
1715039764-375;medvedev88;MAN;7;Тент;экспонаты для выставки;;;963;Киров;Москва;12.12.2021;24;30100;№ 1684870; транспортировка экспонатов для выставок стоимость попутно;"Груз :
							экспонаты для выставки						
                                        Дата перевозки:  10.12
					Время перевозки:  с 13:00 по 13:30
                    Категория: Догруз
                    Вес: 100 кг
                    Д; Ш; В : 100 см; 100 см; 100 см;
					Объем:  1 м3";26,21967248;;12.12.2021
1715039789-376;medvedev88;MAN;7;Тент;Аппарат окрасочный;;;703;Чебоксары;Москва;08.12.2021;1,5;11100;№ 1685373; Перевезти на газели аппарат окрасочный  догрузом;"Груз :
							Аппарат окрасочный						
                                        Дата перевозки:  08.12
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 100 кг
                    Д; Ш; В : 121 см; 67 см; 90 см;
					Объем:  0.73 м3";26,33108255;;08.12.2021
1715039815-377;medvedev88;MAN;7;Тент;Платяной шкаф;;;1550;Москва;Минеральные Воды;22.12.2021;24;26100;№ 1688464; Заказ грузовой машины для доставки вещей ;"Груз : Платяной шкаф 
                                        Дата перевозки:  22.12
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 100 см; 200 см; 50 см;
					Объем:  1 м3";26,00945517;;22.12.2021
1715039831-378;medvedev88;MAN;7;Тент;Мандарины;;;1106;Ростов-на-Дону;Москва;16.12.2021;1,5;22100;№ 1688767; Перевозка мандаринов;"Груз :
							Мандарины						
                                        Дата перевозки:  16.12
					Время перевозки:  Не указано
                    Категория: Продукты питания
                    Вес: 20 кг
                    Д; Ш; В : 50 см; 40 см; 25 см;
					Объем:  0.05 м3";26,1224683;;16.12.2021
1715039857-379;medvedev88;MAN;7;Тент;термопнели;;;3594;Кемерово;Сергиев Посад;20.05.2022;6;49900;№ 1696318; Отправить термопнели;"Груз : термопнели 
                                        Дата перевозки:  с 17.03 по 31.05
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 1500 кг
                    Д; Ш; В : 250 см; 200 см; 200 см;
					Объем:  10 м3";26,68072661;;20.05.2022
1715039882-380;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;324;Большой Сочи;Краснодар;25.01.2022;12;14200;№ 1699337; Стоимость автодоставки заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  25.01
					Время перевозки:  с 07:00 по 20:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,87463912;;25.01.2022
1715039908-381;medvedev88;MAN;7;Тент;Заказать отдельную машину 5-ти тонник;;;2095;Нижний Тагил;Старый Оскол;12.02.2022;3,5;87200;№ 1703132; Отвезти заказать отдельную машину 5-ти тонник стоимость;"Груз :
							Заказать отдельную машину 5-ти тонник						
                                        Дата перевозки:  12.02
					Время перевозки:  10:00
                    Категория: Прочие грузы
                    Вес: 5000 кг
                    Д; Ш; В : не указано
					Объем:  30 м3";26,93516417;;12.02.2022
1715039933-382;medvedev88;MAN;7;Тент;Холодильник двухкамерный, Стиральная машина, Посудомойка, Большие коробки, Средние коробки, Картонная коробка, Мешок, Диван 2-местный, Угловой диван, Двуспальная кровать, Комод, Шифоньер, Горшечные растения, Большие коробки, Средние коробки, Стол для 4-х;;;1452;Самара;Ессентуки;17.02.2022;24;58000;№ 1704775; Транспортировать Холодильник двухкамерный, Стиральная машина, Посудомойка, Большие коробки, Средние коробки, Картонная коробка, Мешок, Диван 2-местный, Угловой диван, Двуспальная кровать, Комод, Шифон;"Груз № 1: Холодильник двухкамерный 
                                        Дата перевозки:  17.02
					Время перевозки:  08:00
                    Категория: Мебель и бытовая техника
                    Вес: 80 кг
                    Д; Ш; В : 100 см; 80 см; 200 см;
					Объем:  1.6 м3";26,48098903;;17.02.2022
1715039959-383;medvedev88;MAN;7;Тент;Заказать отдельную машину Бычок (аналоги, до 3 т.);;;1779;Санкт-Петербург;Верещагино;18.02.2022;3,5;64500;№ 1706304; Доставка заказать отдельную машину Бычка (аналогов, до 3 т.) на газели фермер;"Груз :
							Заказать отдельную машину Бычок (аналоги, до 3 т.)						
                                        Дата перевозки:  18.02
					Время перевозки:  с 12:00 по 13:30
                    Категория: Прочие грузы
                    Вес: 3000 кг
                    Д; Ш; В : не указано
					Объем:  25 м3";26,90579561;;18.02.2022
1715039985-384;medvedev88;MAN;7;Тент;Квартирный переезд;;;1778;Москва;Кантышево;01.03.2022;36;60800;№ 1709821; Услуги квартирного переезда;"Дата перевозки:  01.03
					Время перевозки:  Не указано

										Общий объем:  34.72 м3
					Общий вес:  1138 кг
                    Категория: Переезд";26,0720965;;01.03.2022
1715040010-385;medvedev88;MAN;7;Тент;Квартирный переезд;;;473;Москва;Тамбов;03.03.2022;12;21000;№ 1710433; Заказать авто для переезда квартиры;"Дата перевозки:  с 03.03 по 04.03
					Время перевозки:  Не указано

										Общий объем:  13.066 м3
					Общий вес:  411 кг
                    Категория: Переезд";26,43785971;;03.03.2022
1715040035-386;medvedev88;MAN;7;Тент;Велосипед, Матрас двуспальный, Кресло среднее, Детский комод, Картонная коробка, Телевизор ЖК, Доски;;;1853;Щелково;Севастополь;09.03.2022;2,5;27100;№ 1711262; доставка Велосипеда, матраса двуспального, кресла среднего, детского комода, картонной коробки, телевизора жк, досок стоимость догрузом;"Груз № 1:
							Велосипед						
                                        Дата перевозки:  09.03
					Время перевозки:  с 12:30 по 13:30
                    Категория: Догруз
                    Вес: 10 кг
                    Д; Ш; В : 150 см; 30 см; 150 см;
					Объем:  0.68 м3";26,76745206;;09.03.2022
1715040061-387;medvedev88;MAN;7;Тент;Домашние вещи в коробках;;;1353;Москва;Уфа;26.04.2022;2,5;20300;№ 1711828; Заказать грузовую машину для доставки мебели ;"Груз : Домашние вещи в коробках 
                                        Дата перевозки:  26.04
					Время перевозки:  10:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";26,88894961;;26.04.2022
1715040086-388;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;1799;Москва;Екатеринбург;07.03.2022;2,5;54200;№ 1711862; Доставить заказать отдельную машину Газель (аналоги, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  07.03
					Время перевозки:  09:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,67255836;;07.03.2022
1715040111-389;medvedev88;MAN;7;Тент;Двуспальная кровать, Диван-кровать, Мебельная стенка, Детский комод, Стиральная машина, Письменный стол, Велосипед, Велосипед, Коробки, Автомобильные колёса;;;1350;Сыктывкар;Ленинский р-н;12.03.2022;24;40900;№ 1712700; Заказ отдельной газели для доставки мебели ;"Груз № 1: Двуспальная кровать 
                                        Дата перевозки:  12.03
					Время перевозки:  12:00
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 210 см; 170 см; 90 см;
					Объем:  3.21 м3";26,5258136;;12.03.2022
1715040137-390;medvedev88;MAN;7;Тент;Картонная коробка, Картонная коробка;;;1086;Набережные Челны;Химки;17.03.2022;1,5;15400;№ 1715639; Заказ авто для отправки мебели ;"Груз № 1: Картонная коробка 
                                        Дата перевозки:  18.03
					Время перевозки:  с 07:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 7 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";26,68379939;;17.03.2022
1715040162-391;medvedev88;MAN;7;Тент;Сварочная проволока;;;812;Судиславль;Кириши;28.03.2022;1,5;29800;№ 1716491; Стоимость перевозки сварочной проволоки;"Груз :
							Сварочная проволока						
                                        Дата перевозки:  с 28.03 по 29.03
					Время перевозки:  Не указано
                    Категория: Строительные грузы и оборудование
                    Вес: 0.85 т
                    Д; Ш; В : 1.2 м; 1 м; 1 м;
					Объем:  1.2 м3";26,23488876;;28.03.2022
1715040177-392;medvedev88;MAN;7;Тент;Вентиляционное оборудование;;;1671;Рязань;Челябинск;23.03.2022;2,5;34800;№ 1717641; Автоперевозка вентиляционного оборудования попутно;"Груз :
							Вентиляционное оборудование						
                                        Дата перевозки:  с 21.03 по 31.03
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 2500 кг
                    Д; Ш; В : 120 см; 100 см; 200 см;
					Объем:  2.4 м3";26,83162141;;23.03.2022
1715040202-393;medvedev88;MAN;7;Тент;Квартирный переезд;;;444;Москва;Нижний Новгород;29.03.2022;12;13700;№ 1719642; Переезд квартиры под ключ;"Дата перевозки:  29.03
					Время перевозки:  с 10:00 по 12:00

										Общий объем:  5.47 м3
					Общий вес:  205 кг
                    Категория: Переезд";26,30200807;;29.03.2022
1715040228-394;medvedev88;MAN;7;Тент;Квартирный переезд;;;2383;Санкт-Петербург;Прохладный;25.04.2022;4;52900;№ 1721013; Домашний переезд;"Дата перевозки:  25.04
					Время перевозки:  Не указано

										Общий объем:  20 м3
					Общий вес:  1000 кг
                    Категория: Переезд";26,92854066;;25.04.2022
1715040253-395;medvedev88;MAN;7;Тент;Квартирный переезд;;;1789;Самара;Санкт-Петербург;14.04.2022;24;47200;№ 1721981; Переезд квартиры под ключ;"Дата перевозки:  14.04
					Время перевозки:  Не указано

										Общий объем:  3.1 м3
					Общий вес:  184 кг
                    Категория: Переезд";26,7442889;;14.04.2022
1715040279-396;medvedev88;MAN;7;Тент;Картонная коробка с вещами, Кресло мешок, Штанга;;;2095;Яблоновский;Санкт-Петербург;10.04.2022;3,5;16900;№ 1723309; Перевозка личныx вещей ;"Груз № 1: Картонная коробка с вещами 
                                        Дата перевозки:  с 10.04 по 11.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";26,93676359;;10.04.2022
1715040304-397;medvedev88;MAN;7;Тент;Квартирный переезд;;;1838;Нижневартовск;Уфа;03.05.2022;2,5;26500;№ 1723557; Заказ отдельного автомобиля для переезда;"Дата перевозки:  с 03.05 по 04.05
					Время перевозки:  Не указано

										Общий объем:  7.14 м3
					Общий вес:  443 кг
                    Категория: Переезд";26,64480165;;03.05.2022
1715040329-398;medvedev88;MAN;7;Тент;Письменный стол, Холодильник двухкамерный, Металлическая стойка, Мешки с вещами, Большие коробки, Шифоньер в разобранном виде, Сейф, Стиральная машина;;;1339;Троицкое;Гальнево;16.04.2022;24;35900;№ 1724415; Заказать грузотакси для перевозки догрузом;"Груз № 1:
							Письменный стол						
                                        Дата перевозки:  с 11.04 по 25.04
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 10 кг
                    Д; Ш; В : 160 см; 60 см; 80 см;
					Объем:  0.77 м3";26,71304953;;16.04.2022
1715040355-399;medvedev88;MAN;7;Тент;Квартирный переезд;;;1657;Строково;Новая Отрадовка;10.04.2022;2,5;32300;№ 1724465; Заказ авто для квартирного переезда;"Дата перевозки:  10.04
					Время перевозки:  Не указано

										Общий объем:  10 м3
					Общий вес:  200 кг
                    Категория: Переезд";26,40813069;;10.04.2022
1715040380-400;medvedev88;MAN;7;Тент;Двуспальная кровать, Диван 3-местный, Шкаф, Обеденный стол, Комод, Тумба, Тумбочка, Тумба, Стеллаж, Офисный стул, Скамейка, Табурет, Барный стул, Диван 2-местный, Кресло-кровать, Кондиционер, Внешний блок кондиционера, Велотренажер, Коробки, Коробки, Арма;;;2122;Уфа;Анапа;21.04.2022;3,5;74500;№ 1725012; Доставить Двуспальная кровать, Диван 3-местный, Шкаф, Обеденный стол, Комод, Тумба, Тумбочка, Тумба, Стеллаж, Офисный стул, Скамейка, Табурет, Барный стул, Диван 2-местный, Кресло-кровать, Кондиционер;"Груз № 1: Двуспальная кровать 
                                        Дата перевозки:  20.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 200 см; 160 см; 70 см;
					Объем:  2.24 м3";26,29613846;;21.04.2022
1715040406-401;medvedev88;MAN;7;Тент;Коробки и пакеты с вещами;;;2191;Анапа;Санкт-Петербург;13.04.2022;3,5;30000;№ 1726319; Доставить Коробки и пакеты с вещами;"Груз : Коробки и пакеты с вещами 
                                        Дата перевозки:  13.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 1000 кг
                    Д; Ш; В : 500 см; 100 см; 100 см;
					Объем:  5 м3";26,72085016;;13.04.2022
1715040431-402;medvedev88;MAN;7;Тент;Квартирный переезд;;;2157;Николо-Павловское;;03.05.2022;3,5;63000;№ 1728891; Заказ грузового автомобиля для переезда квартиры под ключ;"Дата перевозки:  03.05
					Время перевозки:  Не указано

										Общий объем:  21.611 м3
					Общий вес:  768 кг
                    Категория: Переезд";26,38278852;;03.05.2022
1715040456-403;medvedev88;MAN;7;Тент;Шкаф для документов 1, Шкаф для документов 2, Шкаф для документов 3, Коробки разные;;;1812;Екатеринбург;Москва;21.04.2022;2,5;19200;№ 1728925; Заказ авто для перевозки мебели ;"Груз № 1: Шкаф для документов 1 
                                        Дата перевозки:  21.04
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 100 см; 40 см; 120 см;
					Объем:  0.48 м3";26,81574709;;21.04.2022
1715040482-404;medvedev88;MAN;7;Тент;Бумагорезальная машина - станина, Бумагорезальная машина - стол;;;903;Челябинск;Тольятти;02.05.2022;1,5;20800;№ 1731977; Газель тент для перевозки бумагорезальной Машиной - станины, бумагорезальной Машиной - стола попутно;"Груз № 1:
							Бумагорезальная машина - станина						
                                        Дата перевозки:  04.05
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 1000 кг
                    Д; Ш; В : 170 см; 45 см; 160 см;
					Объем:  1.22 м3";26,15289397;;02.05.2022
1715040508-405;medvedev88;MAN;7;Тент;Квартирный переезд;;;6014;Чита;Ярославль;02.05.2022;6,5;81600;№ 1732323; Заказать авто для переезда;"Дата перевозки:  с 04.05 по 06.05
					Время перевозки:  Не указано

										Общий объем:  9.06 м3
					Общий вес:  570 кг
                    Категория: Переезд";26,54460565;;02.05.2022
1715040533-406;medvedev88;MAN;7;Тент;Квартирный переезд;;;2191;Оренбург;Санкт-Петербург;25.05.2022;3,5;31100;№ 1733463; Заказ авто для переезда квартиры;"Дата перевозки:  с 24.05 по 26.05
					Время перевозки:  Не указано

										Общий объем:  8.17 м3
					Общий вес:  436 кг
                    Категория: Переезд";26,49579149;;25.05.2022
1715040559-407;medvedev88;MAN;7;Тент;Коробки вещи домашние;;;2914;Сургут;Москва;26.06.2022;4,5;24900;№ 1733638; Заказ автомобиля для транспортировки личныx вещей ;"Груз : Коробки вещи домашние 
                                        Дата перевозки:  с 26.06 по 29.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 400 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";26,32809678;;26.06.2022
1715040584-408;medvedev88;MAN;7;Тент;Квартирный переезд;;;2969;Сургут;Веретенки;12.06.2022;5;69900;№ 1737965; Заказать отдельный автомобиль для переезда квартиры под ключ;"Дата перевозки:  12.06
					Время перевозки:  с 09:00 по 12:00

										Общий объем:  24.71 м3
					Общий вес:  590 кг
                    Категория: Переезд";26,29898775;;12.06.2022
1715040609-409;medvedev88;MAN;7;Тент;Квартирный переезд;;;995;Димитровград;Димитровград;26.05.2022;24;20600;№ 1738437; Услуги квартирного переезда под ключ;"Дата перевозки:  26.05
					Время перевозки:  с 10:00 по 18:00

										Общий объем:  6.51 м3
					Общий вес:  300 кг
                    Категория: Переезд";26,92018437;;26.05.2022
1715040635-410;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;1366;Уфа;Москва;19.05.2022;2,5;33900;№ 1738920; Стоимость автоперевозки заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  19.05
					Время перевозки:  с 17:00 по 18:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,05658308;;19.05.2022
1715040650-411;medvedev88;MAN;7;Тент;Квартирный переезд;;;2255;Исеть;Бугры;26.05.2022;3,5;33500;№ 1741283; Заказ авто для переезда квартиры;"Дата перевозки:  26.05
					Время перевозки:  13:30

										Общий объем:  8.042 м3
					Общий вес:  358 кг
                    Категория: Переезд";26,52594664;;26.05.2022
1715040675-412;medvedev88;MAN;7;Тент;Детский диван, Коробки и личные вещи, Микроволновая печь, Чайник, Мясорубка, Гладильная доска, Чемодан с вещами, Чемодан с вещами, Сумка, Большие коробки, Маленькие коробки, Гладильная доска;;;1417;Реутов;Ставрополь;03.06.2022;24;24900;№ 1741474; Перевозка мебели ;"Груз № 1: Детский диван 
                                        Дата перевозки:  03.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 40 кг
                    Д; Ш; В : 50 см; 120 см; 120 см;
					Объем:  0.72 м3";26,51972622;;03.06.2022
1715040701-413;medvedev88;MAN;7;Тент;Квартирный переезд;;;1670;Волгоград;Гатчина;02.06.2022;2,5;30000;№ 1742416; Услуги квартирного переезда;"Дата перевозки:  02.06
					Время перевозки:  Не указано

										Общий объем:  12.74 м3
					Общий вес:  394 кг
                    Категория: Переезд";26,91771789;;02.06.2022
1715040726-414;medvedev88;MAN;7;Тент;Квартирный переезд;;;1845;Москва;Урус-Мартан;31.05.2022;2,5;25800;№ 1743296; Переезд квартиры под ключ;"Дата перевозки:  31.05
					Время перевозки:  с 15:00 по 18:00

										Общий объем:  2.02753 м3
					Общий вес:  143.5 кг
                    Категория: Переезд";26,97453538;;31.05.2022
1715040752-415;medvedev88;MAN;7;Тент;Большой диван, медицинское оборудование в коробке;;;582;Пенза;Кашира;01.06.2022;12;12200;№ 1743390; Доставить Большой диван, медицинское оборудование в коробке;"Груз № 1: Большой диван 
                                        Дата перевозки:  с 01.06 по 03.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 100 кг
                    Д; Ш; В : 250 см; 110 см; 100 см;
					Объем:  2.75 м3";26,98366449;;01.06.2022
1715040777-416;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;1060;Москва;Набережные Челны;06.06.2022;24;28600;№ 1744187; Грузоперевозки заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  06.06
					Время перевозки:  Не указано
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,81502028;;06.06.2022
1715040802-417;medvedev88;MAN;7;Тент;Квартирный переезд;;;981;Иваново;Санкт-Петербург;04.06.2022;24;17100;№ 1744420; Заказать авто для переезда квартиры;"Дата перевозки:  04.06
					Время перевозки:  Не указано

										Общий объем:  3.62375 м3
					Общий вес:  255 кг
                    Категория: Переезд";26,16143209;;04.06.2022
1715040825-418;medvedev88;MAN;7;Тент;Переезд переезд;;;1713;Москва;Симферополь;28.06.2022;2,5;24100;№ 1744625; Заказ авто для переезда квартиры;"Дата перевозки:  28.06
					Время перевозки:  12:00

										Общий объем:  3.631 м3
					Общий вес:  275 кг
                    Категория: Переезд";26,36019821;;28.06.2022
1715040851-419;medvedev88;MAN;7;Тент;Квартирный переезд;;;1320;Азов;Ростов-на-Дону;22.06.2022;24;18200;№ 1746202; Квартирный переезд под ключ;"Дата перевозки:  22.06
					Время перевозки:  08:00

										Общий объем:  5.9 м3
					Общий вес:  360 кг
                    Категория: Переезд";26,56281878;;22.06.2022
1715040912-420;medvedev88;MAN;7;Тент;Офисная мебель;;;1827;Формачево;Москва;10.06.2022;4,5;29900;№ 1746231; Заказ газели недорого догрузом;"Груз :
							Офисная мебель						
                                        Дата перевозки:  10.06
					Время перевозки:  с 10:00 по 16:00
                    Категория: Догруз
                    Вес: 80 кг
                    Д; Ш; В : 120 см; 100 см; 120 см;
					Объем:  1.44 м3";26,53322937;;10.06.2022
1715040932-421;medvedev88;MAN;7;Тент;Квартирный переезд;;;1465;Москва;Каскадный;24.06.2022;24;21800;№ 1746425; Заказ газели для переезда;"Дата перевозки:  24.06
					Время перевозки:  Не указано

										Общий объем:  5.3 м3
					Общий вес:  248 кг
                    Категория: Переезд";26,72493534;;24.06.2022
1715040951-422;medvedev88;MAN;7;Тент;Коробки с личными вещами, Холсты, Мольберт, 2 малогабаритные коробки, Торшер;;;1765;Самара;Санкт-Петербург;18.06.2022;2,5;14800;№ 1749003; Грузовое такси для перевозки догрузом;"Груз № 1:
							Коробки с личными вещами						
                                        Дата перевозки:  18.06
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 8 кг
                    Д; Ш; В : 60 см; 40 см; 40 см;
					Объем:  0.1 м3";26,53474045;;18.06.2022
1715040977-423;medvedev88;MAN;7;Тент;Квартирный переезд;;;2239;Нижний Тагил;Санкт-Петербург;25.06.2022;3,5;28800;№ 1751892; Заказ грузового автомобиля для переезда квартиры;"Дата перевозки:  с 24.06 по 25.06
					Время перевозки:  Не указано

										Общий объем:  5.378 м3
					Общий вес:  320 кг
                    Категория: Переезд";26,00965568;;25.06.2022
1715041002-424;medvedev88;MAN;7;Тент;Диван, Двуспальная кровать, Кресло среднее, Тумба, Коробка, Мешок с одеждой;;;1230;Москва;Ижевск;24.06.2022;2,5;35100;№ 1752490; Доставить Диван, Двуспальная кровать, Кресло среднее, Тумба, Коробка, Мешок с одеждой;"Груз № 1: Диван 
                                        Дата перевозки:  с 24.06 по 25.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 200 см; 100 см; 90 см;
					Объем:  1.8 м3";26,20153886;;24.06.2022
1715041028-425;medvedev88;MAN;7;Тент;Коробки и личные вещи;;;1912;Севастополь;Сергиев Посад;28.06.2022;2,5;19200;№ 1752531; Отправка мебели ;"Груз : Коробки и личные вещи 
                                        Дата перевозки:  28.06
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 50 см; 50 см; 50 см;
					Объем:  0.13 м3";26,54452097;;28.06.2022
1715041053-426;medvedev88;MAN;7;Тент;Квартирный переезд;;;1763;Азов;Тосненский р-н;08.07.2022;24;68700;№ 1752833; Заказать грузовую машину для квартирного переезда;"Дата перевозки:  08.07
					Время перевозки:  Не указано

										Общий объем:  25 м3
					Общий вес:  5000 кг
                    Категория: Переезд";26,11177699;;08.07.2022
1715041078-427;medvedev88;MAN;7;Тент;Заказать отдельную машину;;;3627;Москва;Томск;30.06.2022;5,5;104100;№ 1754178; Грузовое такси для перевозки заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  с 29.06 по 30.06
					Время перевозки:  10:00
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,82328262;;30.06.2022
1715041104-428;medvedev88;MAN;7;Тент;Квартирный переезд;;;1657;Тольятти;Еглизи;01.07.2022;2,5;21200;№ 1754328; Заказать автомобиль для квартирного переезда;"Дата перевозки:  01.07
					Время перевозки:  с 06:30 по 12:00

										Общий объем:  3.9675 м3
					Общий вес:  286 кг
                    Категория: Переезд";26,22202078;;01.07.2022
1715041124-429;medvedev88;MAN;7;Тент;Заказать отдельную машину Газель (аналоги, до 1,5 т.);;;1572;Москва;Зеленчукская;28.07.2022;24;45400;№ 1754850; Стоимость перевезти заказать отдельную машину Газели (аналогов, до 1, 5 т.);"Груз :
							Заказать отдельную машину Газель (аналоги, до 1,5 т.)						
                                        Дата перевозки:  с 27.07 по 29.07
					Время перевозки:  Не указано
                    Категория: Прочие грузы
                    Вес: 1500 кг
                    Д; Ш; В : не указано
					Объем:  12 м3";26,98697433;;28.07.2022
1715041150-430;medvedev88;MAN;7;Тент;Кирпич;;;1048;Пирогово;Самара;07.07.2022;24;58900;№ 1757085; Перевозка на камазе кирпича попутно;"Груз :
							Кирпич						
                                        Дата перевозки:  07.07
					Время перевозки:  Не указано
                    Категория: Догруз
                    Вес: 1230 кг
                    Д; Ш; В : 100 см; 100 см; 100 см;
					Объем:  1 м3";26,52951966;;07.07.2022
1715041176-431;medvedev88;MAN;7;Тент;Квартирный переезд;;;1812;Екатеринбург;Москва;12.07.2022;2,5;30000;№ 1757937; Заказ авто для квартирного переезда;"Дата перевозки:  12.07
					Время перевозки:  Не указано

										Общий объем:  6.55 м3
					Общий вес:  290 кг
                    Категория: Переезд";26,39551046;;12.07.2022
1715041201-432;medvedev88;MAN;7;Тент;Коробки и чемоданы;;;1555;Москва;Минеральные Воды;08.07.2022;24;20800;№ 1758303; Заказать авто для перевозки мебели ;"Груз : Коробки и чемоданы 
                                        Дата перевозки:  с 08.07 по 09.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 120 см; 50 см; 50 см;
					Объем:  0.3 м3";26,31169585;;08.07.2022
1715041227-433;medvedev88;MAN;7;Тент;Новая мебель в разобранном виде в коробках;;;771;Кузнецк;Москва;14.07.2022;12;21400;№ 1759181; Заказ авто для транспортировки личныx вещей ;"Груз : Новая мебель в разобранном виде в коробках 
                                        Дата перевозки:  14.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 260 см; 60 см; 10 см;
					Объем:  0.16 м3";26,63993627;;14.07.2022
1715041246-434;medvedev88;MAN;7;Тент;Квартирный переезд;;;467;Москва;Вологда;23.07.2022;12;15000;№ 1759293; Заказать грузовой автомобиль для квартирного переезда;"Дата перевозки:  23.07
					Время перевозки:  с 13:00 по 14:30

										Общий объем:  3.11013 м3
					Общий вес:  186.5 кг
                    Категория: Переезд";26,50723043;;23.07.2022
1715041271-435;medvedev88;MAN;7;Тент;Квартирный переезд из Спб в Мск;;;739;Санкт-Петербург;Москва;15.07.2022;12;23700;№ 1759305; Заказать авто для отправки личныx вещей ;"Груз : Квартирный переезд из Спб в Мск 
                                        Дата перевозки:  15.07
					Время перевозки:  Не указано
                    Категория: Мебель и бытовая техника
                    Вес: 1000 кг
                    Д; Ш; В : 400 см; 200 см; 300 см;
					Объем:  24 м3";26,55002228;;15.07.2022
